txn_id,date,amount,customer,product,region,status,payment_method,notes
TXN-2024-0001,2024-07-04,417.35,Acme Corp,Basic Plan,US-WEST,completed,credit_card,
TXN-2024-0002,2024-06-04,478.66,Blue Ocean Ltd,Pro Plan,APAC,refunded,credit_card,Annual renewal
TXN-2024-0003,2024-05-14,3473.25,TechStart Inc,Pro Plan,EU-WEST,pending,credit_card,
TXN-2024-0004,2024-02-22,2611.38,Sunset Labs,API Addon,US-WEST,completed,credit_card,New customer
TXN-2024-0005,2024-03-19,2553.16,Blue Ocean Ltd,Storage Addon,EU-WEST,pending,credit_card,Upgrade from basic
TXN-2024-0006,2024-07-07,104.73,Silver Stream Inc,API Addon,APAC,completed,credit_card,Monthly subscription
TXN-2024-0007,2024-12-22,93.49,Acme Corp,API Addon,US-WEST,completed,credit_card,New customer
TXN-2024-0008,2024-09-04,136.37,TechStart Inc,Basic Plan,APAC,pending,paypal,Referral discount applied
TXN-2024-0009,2024-06-21,145.10,Silver Stream Inc,Pro Plan,EU-WEST,completed,paypal,Annual renewal
TXN-2024-0010,2024-07-04,100.29,Green Valley LLC,Enterprise Plan,US-WEST,completed,paypal,
TXN-2024-0011,2024-04-07,89.79,Green Valley LLC,Pro Plan,US-EAST,refunded,credit_card,Referral discount applied
TXN-2024-0012,2024-09-26,3318.87,Silver Stream Inc,Storage Addon,US-EAST,refunded,credit_card,
TXN-2024-0013,2024-03-26,489.63,Red Mountain Co,Basic Plan,US-EAST,completed,credit_card,New customer
TXN-2024-0014,2024-08-16,3492.09,Green Valley LLC,Enterprise Plan,US-EAST,completed,credit_card,Referral discount applied
TXN-2024-0015,2024-05-01,76.11,Silver Stream Inc,API Addon,EU-WEST,completed,bank_transfer,Monthly subscription
TXN-2024-0016,2024-09-03,422.84,Northern Wind Co,Storage Addon,APAC,completed,bank_transfer,Upgrade from basic
TXN-2024-0017,2024-09-28,2372.94,Silver Stream Inc,Basic Plan,EU-WEST,completed,credit_card,
TXN-2024-0018,2024-04-05,144.63,Blue Ocean Ltd,Enterprise Plan,US-EAST,refunded,paypal,
TXN-2024-0019,2024-02-22,81.40,Silver Stream Inc,Basic Plan,US-WEST,completed,paypal,Annual renewal
TXN-2024-0020,2024-11-21,179.24,Green Valley LLC,Storage Addon,US-WEST,completed,credit_card,Annual renewal
TXN-2024-0021,2024-05-13,75.22,Blue Ocean Ltd,Basic Plan,US-WEST,completed,bank_transfer,Monthly subscription
TXN-2024-0022,2024-11-11,100.35,Golden Gate LLC,Pro Plan,US-EAST,completed,credit_card,Referral discount applied
TXN-2024-0023,2024-08-12,3072.12,Green Valley LLC,API Addon,US-EAST,pending,bank_transfer,Referral discount applied
TXN-2024-0024,2024-06-17,408.00,Red Mountain Co,Basic Plan,APAC,completed,credit_card,
TXN-2024-0025,2024-09-07,153.50,Red Mountain Co,Storage Addon,APAC,completed,credit_card,New customer
TXN-2024-0026,2024-04-06,464.54,Golden Gate LLC,Basic Plan,APAC,completed,credit_card,Upgrade from basic
TXN-2024-0027,2024-07-07,206.96,Red Mountain Co,Pro Plan,US-EAST,completed,credit_card,Referral discount applied
TXN-2024-0028,2024-06-09,207.59,Blue Ocean Ltd,Pro Plan,EU-WEST,completed,paypal,New customer
TXN-2024-0029,2024-01-15,463.21,Acme Corp,Storage Addon,US-WEST,completed,paypal,Monthly subscription
TXN-2024-0030,2024-09-16,2903.47,Sunset Labs,Pro Plan,APAC,completed,credit_card,Referral discount applied
TXN-2024-0031,2024-04-08,2283.22,Red Mountain Co,Pro Plan,APAC,completed,credit_card,Upgrade from basic
TXN-2024-0032,2024-10-06,212.08,Red Mountain Co,Storage Addon,EU-WEST,pending,credit_card,Annual renewal
TXN-2024-0033,2024-07-28,2291.19,Acme Corp,Enterprise Plan,APAC,completed,credit_card,
TXN-2024-0034,2024-10-28,187.81,Iron Bridge Corp,Pro Plan,US-EAST,completed,paypal,
TXN-2024-0035,2024-05-21,197.90,TechStart Inc,Basic Plan,EU-WEST,pending,paypal,Upgrade from basic
TXN-2024-0036,2024-04-11,69.35,Red Mountain Co,API Addon,US-WEST,completed,paypal,Monthly subscription
TXN-2024-0037,2024-04-02,70.43,Sunset Labs,Storage Addon,EU-WEST,refunded,paypal,Upgrade from basic
TXN-2024-0038,2024-11-27,440.89,Iron Bridge Corp,Storage Addon,US-WEST,completed,bank_transfer,
TXN-2024-0039,2024-10-03,92.67,Acme Corp,Storage Addon,EU-WEST,completed,credit_card,Annual renewal
TXN-2024-0040,2024-06-25,105.73,TechStart Inc,Pro Plan,EU-WEST,completed,paypal,
TXN-2024-0041,2024-11-03,96.12,Acme Corp,Basic Plan,US-WEST,completed,credit_card,Annual renewal
TXN-2024-0042,2024-08-18,145.76,Green Valley LLC,API Addon,EU-WEST,completed,bank_transfer,
TXN-2024-0043,2024-07-15,79.47,Iron Bridge Corp,Pro Plan,US-EAST,pending,credit_card,
TXN-2024-0044,2024-11-13,104.80,Northern Wind Co,Storage Addon,US-WEST,pending,paypal,Monthly subscription
TXN-2024-0045,2024-04-18,189.11,Green Valley LLC,API Addon,EU-WEST,completed,bank_transfer,Referral discount applied
TXN-2024-0046,2024-01-14,441.53,Green Valley LLC,Basic Plan,US-WEST,completed,credit_card,
TXN-2024-0047,2024-08-23,2280.93,Northern Wind Co,Enterprise Plan,US-EAST,refunded,credit_card,Annual renewal
TXN-2024-0048,2024-12-25,485.02,Sunset Labs,Storage Addon,APAC,pending,credit_card,
TXN-2024-0049,2024-09-10,2457.45,Blue Ocean Ltd,API Addon,EU-WEST,completed,credit_card,Monthly subscription
TXN-2024-0050,2024-01-13,455.90,Iron Bridge Corp,Basic Plan,EU-WEST,completed,paypal,Referral discount applied
TXN-2024-0051,2024-04-22,2365.63,Acme Corp,Storage Addon,US-EAST,refunded,credit_card,
TXN-2024-0052,2024-01-23,2434.33,Iron Bridge Corp,Basic Plan,US-WEST,pending,credit_card,Annual renewal
TXN-2024-0053,2024-03-28,102.20,Blue Ocean Ltd,Enterprise Plan,US-EAST,refunded,credit_card,
TXN-2024-0054,2024-09-24,104.91,Blue Ocean Ltd,Basic Plan,EU-WEST,refunded,credit_card,New customer
TXN-2024-0055,2024-12-06,2575.57,Blue Ocean Ltd,Pro Plan,EU-WEST,completed,credit_card,
TXN-2024-0056,2024-01-15,108.29,Acme Corp,Pro Plan,US-EAST,completed,paypal,
TXN-2024-0057,2024-08-16,490.38,Acme Corp,API Addon,EU-WEST,refunded,paypal,New customer
TXN-2024-0058,2024-02-11,153.72,TechStart Inc,Storage Addon,US-WEST,completed,credit_card,Annual renewal
TXN-2024-0059,2024-06-13,77.20,Northern Wind Co,API Addon,US-WEST,pending,bank_transfer,Monthly subscription
TXN-2024-0060,2024-11-24,163.69,Blue Ocean Ltd,Storage Addon,APAC,completed,bank_transfer,Annual renewal
TXN-2024-0061,2024-10-14,101.36,Iron Bridge Corp,Basic Plan,US-WEST,refunded,bank_transfer,Annual renewal
TXN-2024-0062,2024-01-04,93.38,Acme Corp,Storage Addon,EU-WEST,completed,bank_transfer,
TXN-2024-0063,2024-06-25,2701.25,Green Valley LLC,API Addon,EU-WEST,refunded,credit_card,
TXN-2024-0064,2024-05-28,2267.85,Silver Stream Inc,Storage Addon,APAC,completed,paypal,Monthly subscription
TXN-2024-0065,2024-01-16,211.57,Green Valley LLC,Storage Addon,APAC,completed,bank_transfer,Monthly subscription
TXN-2024-0066,2024-03-27,210.83,Blue Ocean Ltd,Pro Plan,US-WEST,pending,bank_transfer,
TXN-2024-0067,2024-06-23,489.80,Blue Ocean Ltd,Storage Addon,US-WEST,refunded,bank_transfer,Upgrade from basic
TXN-2024-0068,2024-09-11,102.36,Northern Wind Co,API Addon,US-EAST,completed,credit_card,
TXN-2024-0069,2024-05-15,494.55,Northern Wind Co,Basic Plan,US-WEST,completed,bank_transfer,Referral discount applied
TXN-2024-0070,2024-11-09,181.15,Sunset Labs,Storage Addon,US-EAST,completed,credit_card,
TXN-2024-0071,2024-11-10,2435.65,Blue Ocean Ltd,Storage Addon,EU-WEST,completed,credit_card,
TXN-2024-0072,2024-05-07,469.75,Northern Wind Co,Enterprise Plan,EU-WEST,completed,credit_card,New customer
TXN-2024-0073,2024-01-13,483.06,TechStart Inc,API Addon,APAC,completed,credit_card,Monthly subscription
TXN-2024-0074,2024-04-03,93.56,Blue Ocean Ltd,Enterprise Plan,APAC,pending,credit_card,
TXN-2024-0075,2024-03-06,94.84,Green Valley LLC,Enterprise Plan,APAC,completed,credit_card,
TXN-2024-0076,2024-12-02,92.53,Red Mountain Co,Pro Plan,EU-WEST,completed,credit_card,Referral discount applied
TXN-2024-0077,2024-11-02,469.68,Northern Wind Co,Basic Plan,US-EAST,completed,credit_card,Upgrade from basic
TXN-2024-0078,2024-12-14,2563.23,Sunset Labs,Storage Addon,US-WEST,completed,credit_card,
TXN-2024-0079,2024-06-22,3241.35,Red Mountain Co,Enterprise Plan,APAC,completed,paypal,
TXN-2024-0080,2024-09-06,2646.88,Red Mountain Co,Storage Addon,APAC,completed,credit_card,Monthly subscription
TXN-2024-0081,2024-01-19,67.58,Acme Corp,API Addon,US-EAST,completed,bank_transfer,Upgrade from basic
TXN-2024-0082,2024-12-10,69.02,Golden Gate LLC,Pro Plan,US-EAST,pending,paypal,Referral discount applied
TXN-2024-0083,2024-06-23,2508.39,Northern Wind Co,Pro Plan,US-WEST,completed,credit_card,Upgrade from basic
TXN-2024-0084,2024-01-16,2427.30,Silver Stream Inc,API Addon,APAC,pending,credit_card,Referral discount applied
TXN-2024-0085,2024-10-28,2538.42,Silver Stream Inc,Storage Addon,US-WEST,completed,credit_card,
TXN-2024-0086,2024-12-21,103.28,Golden Gate LLC,Storage Addon,EU-WEST,refunded,bank_transfer,
TXN-2024-0087,2024-12-11,456.87,Golden Gate LLC,Basic Plan,APAC,completed,paypal,Monthly subscription
TXN-2024-0088,2024-03-26,2647.42,Red Mountain Co,Enterprise Plan,EU-WEST,completed,credit_card,Upgrade from basic
TXN-2024-0089,2024-08-17,98.25,Red Mountain Co,Basic Plan,US-WEST,pending,credit_card,
TXN-2024-0090,2024-11-15,203.67,Red Mountain Co,Basic Plan,US-WEST,completed,credit_card,
TXN-2024-0091,2024-10-20,153.26,Silver Stream Inc,API Addon,US-EAST,pending,paypal,
TXN-2024-0092,2024-09-13,182.00,TechStart Inc,Enterprise Plan,US-WEST,completed,credit_card,Referral discount applied
TXN-2024-0093,2024-02-03,99.07,Silver Stream Inc,Basic Plan,US-EAST,pending,credit_card,
TXN-2024-0094,2024-10-28,433.56,Acme Corp,API Addon,US-EAST,refunded,credit_card,Referral discount applied
TXN-2024-0095,2024-09-19,104.13,Silver Stream Inc,Pro Plan,US-WEST,pending,credit_card,Monthly subscription
TXN-2024-0096,2024-02-10,475.47,Silver Stream Inc,API Addon,US-WEST,refunded,credit_card,Referral discount applied
TXN-2024-0097,2024-03-16,2571.58,Silver Stream Inc,Storage Addon,US-EAST,completed,paypal,
TXN-2024-0098,2024-09-26,3121.89,Golden Gate LLC,Pro Plan,EU-WEST,completed,credit_card,
TXN-2024-0099,2024-04-04,2424.41,Blue Ocean Ltd,Pro Plan,APAC,pending,credit_card,New customer
TXN-2024-0100,2024-03-16,81.57,Acme Corp,Storage Addon,APAC,completed,paypal,Annual renewal
TXN-2024-0101,2024-06-13,3330.92,Sunset Labs,Basic Plan,US-WEST,completed,credit_card,
TXN-2024-0102,2024-07-19,100.26,TechStart Inc,Basic Plan,EU-WEST,pending,credit_card,
TXN-2024-0103,2024-09-17,3488.74,Golden Gate LLC,Pro Plan,APAC,completed,credit_card,Upgrade from basic
TXN-2024-0104,2024-09-10,3060.65,Northern Wind Co,Pro Plan,US-WEST,pending,credit_card,Monthly subscription
TXN-2024-0105,2024-12-16,187.41,Iron Bridge Corp,API Addon,US-EAST,completed,bank_transfer,Referral discount applied
TXN-2024-0106,2024-10-06,2977.64,Northern Wind Co,Basic Plan,APAC,refunded,paypal,New customer
TXN-2024-0107,2024-06-23,2360.84,Golden Gate LLC,Basic Plan,EU-WEST,refunded,credit_card,Referral discount applied
TXN-2024-0108,2024-09-22,3500.41,Acme Corp,Storage Addon,US-WEST,completed,credit_card,Annual renewal
TXN-2024-0109,2024-03-26,483.03,Blue Ocean Ltd,Basic Plan,EU-WEST,completed,credit_card,New customer
TXN-2024-0110,2024-02-15,2300.22,Golden Gate LLC,API Addon,APAC,pending,credit_card,
TXN-2024-0111,2024-11-07,78.03,Acme Corp,Basic Plan,EU-WEST,pending,credit_card,Upgrade from basic
TXN-2024-0112,2024-11-07,2669.97,Golden Gate LLC,Pro Plan,US-WEST,completed,paypal,New customer
TXN-2024-0113,2024-11-15,89.69,Red Mountain Co,Enterprise Plan,US-EAST,refunded,credit_card,Annual renewal
TXN-2024-0114,2024-05-23,201.36,Sunset Labs,Basic Plan,US-WEST,pending,bank_transfer,
TXN-2024-0115,2024-11-16,195.01,Blue Ocean Ltd,API Addon,US-WEST,completed,credit_card,
TXN-2024-0116,2024-12-20,82.43,Sunset Labs,Basic Plan,APAC,completed,paypal,New customer
TXN-2024-0117,2024-11-24,2290.33,Golden Gate LLC,API Addon,EU-WEST,completed,credit_card,Upgrade from basic
TXN-2024-0118,2024-06-14,2472.33,Acme Corp,Storage Addon,APAC,completed,bank_transfer,
TXN-2024-0119,2024-06-12,81.53,Silver Stream Inc,Pro Plan,US-WEST,refunded,credit_card,New customer
TXN-2024-0120,2024-05-27,2309.12,Northern Wind Co,Enterprise Plan,US-EAST,completed,credit_card,Monthly subscription
TXN-2024-0121,2024-09-02,108.25,Acme Corp,API Addon,EU-WEST,completed,credit_card,New customer
TXN-2024-0122,2024-01-01,2381.26,Northern Wind Co,Pro Plan,US-EAST,completed,paypal,
TXN-2024-0123,2024-05-01,192.07,TechStart Inc,Storage Addon,US-EAST,completed,credit_card,Referral discount applied
TXN-2024-0124,2024-08-10,98.23,Golden Gate LLC,Pro Plan,APAC,completed,paypal,Annual renewal
TXN-2024-0125,2024-07-05,481.81,Northern Wind Co,API Addon,US-EAST,refunded,paypal,
TXN-2024-0126,2024-04-28,2718.63,Red Mountain Co,API Addon,EU-WEST,completed,credit_card,New customer
TXN-2024-0127,2024-08-04,203.73,TechStart Inc,Pro Plan,US-WEST,completed,paypal,
TXN-2024-0128,2024-09-18,2392.57,Sunset Labs,API Addon,US-WEST,refunded,paypal,
TXN-2024-0129,2024-11-15,428.83,Silver Stream Inc,Storage Addon,US-EAST,refunded,bank_transfer,
TXN-2024-0130,2024-06-03,96.95,Golden Gate LLC,Pro Plan,US-WEST,completed,credit_card,Monthly subscription
TXN-2024-0131,2024-03-15,101.39,Northern Wind Co,Storage Addon,US-WEST,completed,paypal,
TXN-2024-0132,2024-11-15,463.38,Golden Gate LLC,Enterprise Plan,US-EAST,completed,credit_card,
TXN-2024-0133,2024-01-27,448.64,Blue Ocean Ltd,Basic Plan,US-WEST,completed,credit_card,Upgrade from basic
TXN-2024-0134,2024-06-05,2512.32,Red Mountain Co,Pro Plan,EU-WEST,completed,bank_transfer,New customer
TXN-2024-0135,2024-12-02,427.22,Blue Ocean Ltd,Enterprise Plan,US-EAST,completed,credit_card,Annual renewal
TXN-2024-0136,2024-12-18,143.38,TechStart Inc,Basic Plan,APAC,refunded,credit_card,Upgrade from basic
TXN-2024-0137,2024-09-10,97.72,Golden Gate LLC,Basic Plan,US-EAST,pending,credit_card,Upgrade from basic
TXN-2024-0138,2024-09-15,3456.23,Green Valley LLC,Storage Addon,US-EAST,pending,credit_card,
TXN-2024-0139,2024-06-06,208.32,Golden Gate LLC,Enterprise Plan,US-WEST,completed,credit_card,New customer
TXN-2024-0140,2024-10-21,74.19,Acme Corp,Storage Addon,APAC,completed,bank_transfer,New customer
TXN-2024-0141,2024-01-23,2981.84,Golden Gate LLC,Storage Addon,US-WEST,completed,credit_card,New customer
TXN-2024-0142,2024-06-10,458.88,Sunset Labs,API Addon,US-EAST,completed,credit_card,New customer
TXN-2024-0143,2024-06-06,139.47,Blue Ocean Ltd,Storage Addon,APAC,refunded,credit_card,Upgrade from basic
TXN-2024-0144,2024-03-20,105.07,Silver Stream Inc,Storage Addon,EU-WEST,pending,credit_card,Monthly subscription
TXN-2024-0145,2024-08-28,2986.93,Golden Gate LLC,Enterprise Plan,APAC,pending,paypal,Upgrade from basic
TXN-2024-0146,2024-03-03,3008.57,Red Mountain Co,Storage Addon,US-WEST,completed,credit_card,
TXN-2024-0147,2024-05-05,74.23,TechStart Inc,Pro Plan,US-WEST,completed,paypal,
TXN-2024-0148,2024-03-17,99.74,Sunset Labs,Pro Plan,US-WEST,refunded,credit_card,Upgrade from basic
TXN-2024-0149,2024-04-17,3197.76,Northern Wind Co,Basic Plan,US-EAST,completed,credit_card,
TXN-2024-0150,2024-01-22,188.87,Red Mountain Co,Enterprise Plan,APAC,completed,credit_card,
TXN-2024-0151,2024-01-28,95.16,Silver Stream Inc,Enterprise Plan,US-WEST,completed,credit_card,
TXN-2024-0152,2024-06-25,90.40,Northern Wind Co,Storage Addon,US-WEST,completed,credit_card,Monthly subscription
TXN-2024-0153,2024-11-01,3294.45,Iron Bridge Corp,Pro Plan,APAC,pending,credit_card,New customer
TXN-2024-0154,2024-05-23,2908.61,TechStart Inc,Basic Plan,EU-WEST,completed,credit_card,Referral discount applied
TXN-2024-0155,2024-03-12,2736.54,Silver Stream Inc,Storage Addon,EU-WEST,pending,credit_card,
TXN-2024-0156,2024-06-13,210.19,Acme Corp,Basic Plan,US-WEST,refunded,paypal,Upgrade from basic
TXN-2024-0157,2024-05-16,98.84,Silver Stream Inc,API Addon,US-WEST,completed,credit_card,
TXN-2024-0158,2024-11-05,406.03,Acme Corp,API Addon,EU-WEST,completed,paypal,Upgrade from basic
TXN-2024-0159,2024-01-14,158.56,Acme Corp,API Addon,US-EAST,completed,credit_card,Upgrade from basic
TXN-2024-0160,2024-03-27,89.16,Silver Stream Inc,Pro Plan,EU-WEST,completed,paypal,
TXN-2024-0161,2024-03-07,108.13,Northern Wind Co,Basic Plan,US-WEST,completed,credit_card,Monthly subscription
TXN-2024-0162,2024-01-22,2303.98,TechStart Inc,Pro Plan,EU-WEST,refunded,credit_card,
TXN-2024-0163,2024-12-06,82.11,Acme Corp,Basic Plan,US-WEST,completed,credit_card,New customer
TXN-2024-0164,2024-01-04,138.86,Iron Bridge Corp,Pro Plan,APAC,completed,paypal,Monthly subscription
TXN-2024-0165,2024-06-26,413.08,Silver Stream Inc,Basic Plan,US-EAST,refunded,paypal,Annual renewal
TXN-2024-0166,2024-05-05,2256.81,Golden Gate LLC,Storage Addon,APAC,refunded,credit_card,Referral discount applied
TXN-2024-0167,2024-06-06,433.96,Iron Bridge Corp,API Addon,US-WEST,refunded,credit_card,New customer
TXN-2024-0168,2024-08-17,96.19,Silver Stream Inc,Pro Plan,APAC,completed,credit_card,Monthly subscription
TXN-2024-0169,2024-05-14,161.59,Red Mountain Co,Storage Addon,US-EAST,completed,credit_card,Annual renewal
TXN-2024-0170,2024-01-10,460.49,Iron Bridge Corp,Storage Addon,US-WEST,completed,credit_card,Monthly subscription
TXN-2024-0171,2024-05-14,108.81,Iron Bridge Corp,Pro Plan,APAC,completed,credit_card,
TXN-2024-0172,2024-07-01,67.71,Red Mountain Co,Pro Plan,US-EAST,pending,credit_card,Upgrade from basic
TXN-2024-0173,2024-10-22,484.03,TechStart Inc,Pro Plan,US-WEST,completed,bank_transfer,Upgrade from basic
TXN-2024-0174,2024-02-17,105.59,TechStart Inc,Enterprise Plan,APAC,completed,credit_card,
TXN-2024-0175,2024-08-27,102.76,Golden Gate LLC,API Addon,US-EAST,completed,credit_card,Referral discount applied
TXN-2024-0176,2024-01-06,488.39,Green Valley LLC,Pro Plan,US-EAST,refunded,credit_card,Upgrade from basic
TXN-2024-0177,2024-06-28,218.22,Golden Gate LLC,Enterprise Plan,US-WEST,completed,bank_transfer,Annual renewal
TXN-2024-0178,2024-03-03,70.85,Blue Ocean Ltd,Pro Plan,APAC,refunded,bank_transfer,Upgrade from basic
TXN-2024-0179,2024-04-17,100.88,Green Valley LLC,Enterprise Plan,APAC,completed,credit_card,
TXN-2024-0180,2024-09-14,73.06,Acme Corp,API Addon,EU-WEST,pending,credit_card,Annual renewal
TXN-2024-0181,2024-07-19,181.55,TechStart Inc,API Addon,US-WEST,completed,credit_card,New customer
TXN-2024-0182,2024-05-24,484.40,Green Valley LLC,Storage Addon,US-WEST,refunded,credit_card,
TXN-2024-0183,2024-01-22,493.53,Acme Corp,Enterprise Plan,US-WEST,completed,paypal,Upgrade from basic
